resume_category,job_domain,similarity_score,rank
HR,legal,0.5769841588410087,1
HR,government,0.5465205341560924,2
HR,logistics,0.5396484104660584,3
HR,insurance,0.5377977522911581,4
HR,finance,0.5360500261724198,5
DESIGNER,design,0.5534510695087907,1
DESIGNER,software,0.4925174678190563,2
DESIGNER,construction,0.4863630071610773,3
DESIGNER,marketing,0.4735093305559886,4
DESIGNER,architecture,0.4733996951300793,5
INFORMATION-TECHNOLOGY,hardware,0.7243567283468584,1
INFORMATION-TECHNOLOGY,software,0.6442895752829434,2
INFORMATION-TECHNOLOGY,architecture,0.6328421166750058,3
INFORMATION-TECHNOLOGY,design,0.6186887369402694,4
INFORMATION-TECHNOLOGY,consulting,0.5735834254945228,5
TEACHER,government,0.3492229572920476,1
TEACHER,transportation,0.3483970555257743,2
TEACHER,insurance,0.3467835548831767,3
TEACHER,legal,0.3413712378812285,4
TEACHER,media,0.3313778746473857,5
ADVOCATE,insurance,0.6380383313185135,1
ADVOCATE,legal,0.637654643537439,2
ADVOCATE,transportation,0.6258507379816608,3
ADVOCATE,healthcare,0.6090326627718905,4
ADVOCATE,government,0.6063887788963026,5
BUSINESS-DEVELOPMENT,marketing,0.7511849957002606,1
BUSINESS-DEVELOPMENT,media,0.637418694884797,2
BUSINESS-DEVELOPMENT,retail,0.597947338555811,3
BUSINESS-DEVELOPMENT,consulting,0.5902560727895364,4
BUSINESS-DEVELOPMENT,energy,0.5861110811190318,5
HEALTHCARE,healthcare,0.7462265593051725,1
HEALTHCARE,hospitals,0.6880104156049398,2
HEALTHCARE,insurance,0.6879927805674945,3
HEALTHCARE,legal,0.6798526672008963,4
HEALTHCARE,transportation,0.6644023484869833,5
FITNESS,marketing,0.5304940006445008,1
FITNESS,retail,0.5218889869232619,2
FITNESS,insurance,0.5214958846129871,3
FITNESS,transportation,0.5165010930566025,4
FITNESS,logistics,0.5091354558825113,5
AGRICULTURE,government,0.588778452134547,1
AGRICULTURE,software,0.5774673776557505,2
AGRICULTURE,legal,0.5664328494035084,3
AGRICULTURE,logistics,0.554346286012488,4
AGRICULTURE,design,0.5532933573089442,5
BPO,software,0.6355249679237186,1
BPO,consulting,0.6169990070754242,2
BPO,finance,0.6159079510009693,3
BPO,marketing,0.6118227740043677,4
BPO,logistics,0.6092536538738761,5
SALES,retail,0.6718460997473779,1
SALES,marketing,0.613621753029075,2
SALES,energy,0.5434883921743554,3
SALES,logistics,0.5366313852677937,4
SALES,transportation,0.522863460364969,5
CONSULTANT,software,0.7041208006425109,1
CONSULTANT,consulting,0.6891235949130813,2
CONSULTANT,design,0.67950112418991,3
CONSULTANT,marketing,0.6779754750954147,4
CONSULTANT,finance,0.6662003265607083,5
DIGITAL-MEDIA,media,0.7737251826129177,1
DIGITAL-MEDIA,marketing,0.6955546441854394,2
DIGITAL-MEDIA,design,0.5210936917448056,3
DIGITAL-MEDIA,tech,0.5162985863439447,4
DIGITAL-MEDIA,software,0.5145185669987457,5
AUTOMOBILE,software,0.5975914401392611,1
AUTOMOBILE,legal,0.5883039899340905,2
AUTOMOBILE,logistics,0.5780855920528574,3
AUTOMOBILE,insurance,0.5763418891002869,4
AUTOMOBILE,marketing,0.5684399214560515,5
CHEF,hospitality,0.454353932499792,1
CHEF,retail,0.3589391530589736,2
CHEF,logistics,0.3533819478804799,3
CHEF,transportation,0.3457896205367439,4
CHEF,insurance,0.3405958679022543,5
FINANCE,accounting,0.7844725807552119,1
FINANCE,finance,0.7558464286294712,2
FINANCE,banking,0.5655652889195572,3
FINANCE,software,0.5284467935374645,4
FINANCE,legal,0.5217497412147573,5
APPAREL,retail,0.6724122597227798,1
APPAREL,marketing,0.625574874402461,2
APPAREL,logistics,0.5836806373713378,3
APPAREL,energy,0.5653089693702896,4
APPAREL,media,0.5553402189019612,5
ENGINEERING,manufacturing,0.6905020180536043,1
ENGINEERING,design,0.6735438021499415,2
ENGINEERING,hardware,0.6560752241202924,3
ENGINEERING,software,0.642748510477299,4
ENGINEERING,construction,0.6146965619000826,5
ACCOUNTANT,accounting,0.7534474629858441,1
ACCOUNTANT,finance,0.6324192255353134,2
ACCOUNTANT,banking,0.4595841228648054,3
ACCOUNTANT,software,0.4282494863728353,4
ACCOUNTANT,legal,0.4159300695999663,5
CONSTRUCTION,construction,0.7649240579055485,1
CONSTRUCTION,energy,0.5285526708752737,2
CONSTRUCTION,logistics,0.5116897304861762,3
CONSTRUCTION,manufacturing,0.5111820894529665,4
CONSTRUCTION,design,0.5108163333398827,5
PUBLIC-RELATIONS,media,0.6757443256238841,1
PUBLIC-RELATIONS,marketing,0.6023885331760184,2
PUBLIC-RELATIONS,logistics,0.4835679244879174,3
PUBLIC-RELATIONS,software,0.4645827110221756,4
PUBLIC-RELATIONS,consulting,0.4630223358879384,5
BANKING,banking,0.7398151273773816,1
BANKING,finance,0.6790959720432285,2
BANKING,marketing,0.645376975880476,3
BANKING,accounting,0.633854953779394,4
BANKING,software,0.6109250603142149,5
ARTS,media,0.5184990804431272,1
ARTS,marketing,0.5165060483700012,2
ARTS,logistics,0.5147856797856749,3
ARTS,software,0.513225640801954,4
ARTS,insurance,0.5105225219118498,5
AVIATION,logistics,0.5756627998913135,1
AVIATION,manufacturing,0.5636113205961588,2
AVIATION,software,0.5429791824096747,3
AVIATION,government,0.5398764985758325,4
AVIATION,hardware,0.5347292692001216,5
